spec_name,covariate,level,smd_before,abs_smd_before,smd_after,abs_smd_after
spec_primary_reference,age_at_sleep_study_years,,0.01365459490739273,0.01365459490739273,0.10464837303512865,0.10464837303512865
spec_primary_reference,bmipct,,0.1896287413913076,0.1896287413913076,0.12144750396594686,0.12144750396594686
spec_primary_reference,craniofacial_anomaly_flag,1,0.12360044594667802,0.12360044594667802,0.018117175830312696,0.018117175830312696
spec_primary_reference,down_syndrome_flag,1,0.24043888725598883,0.24043888725598883,-0.039848860949041984,0.039848860949041984
spec_primary_reference,hypothyroidism_flag,1,0.08537956900086892,0.08537956900086892,-0.013649095099256577,0.013649095099256577
spec_primary_reference,med_any_sleep_relevant_30d,1,0.1307934428819206,0.1307934428819206,-0.0271437642582997,0.0271437642582997
spec_primary_reference,n_chronic_dx_pre_sleep,,0.06583262148878537,0.06583262148878537,-0.009560544873146566,0.009560544873146566
spec_primary_reference,neuromuscular_disease_flag,1,0.08240940844176343,0.08240940844176343,-0.02687461907896938,0.02687461907896938
spec_primary_reference,osa_flag,1,0.5458221322934309,0.5458221322934309,-0.0028591624892676535,0.0028591624892676535
spec_primary_reference,race_ethnicity_group,Hispanic,0.014736155282735327,0.014736155282735327,-0.0868053229884508,0.0868053229884508
spec_primary_reference,race_ethnicity_group,Non-Hispanic Asian,-0.0014494220576841189,0.0014494220576841189,0.07010172129736669,0.07010172129736669
spec_primary_reference,race_ethnicity_group,Non-Hispanic Black,0.12530013608484356,0.12530013608484356,-0.02372417958439532,0.02372417958439532
spec_primary_reference,race_ethnicity_group,Non-Hispanic White,-0.13966343773728324,0.13966343773728324,0.03786291778114791,0.03786291778114791
spec_primary_reference,race_ethnicity_group,Other/Multiracial,0.08218343754954874,0.08218343754954874,0.010507268618710059,0.010507268618710059
spec_primary_reference,race_ethnicity_group,Unknown/Missing,-0.13005121775247105,0.13005121775247105,0.0,0.0
spec_primary_reference,sex,Female,-0.11973063293135498,0.11973063293135498,-0.06388200013882962,0.06388200013882962
spec_primary_reference,sex,Male,0.12057798086379491,0.12057798086379491,0.06388200013882962,0.06388200013882962
spec_primary_reference,sex,Unknown,-0.02896422231817461,0.02896422231817461,0.0,0.0
spec_obesity_binary,age_at_sleep_study_years,,0.01365459490739273,0.01365459490739273,0.023897498956821733,0.023897498956821733
spec_obesity_binary,craniofacial_anomaly_flag,1,0.12360044594667802,0.12360044594667802,0.009031485581303749,0.009031485581303749
spec_obesity_binary,down_syndrome_flag,1,0.24043888725598883,0.24043888725598883,-0.08901987783222215,0.08901987783222215
spec_obesity_binary,hypothyroidism_flag,1,0.08537956900086892,0.08537956900086892,-0.02078377835631863,0.02078377835631863
spec_obesity_binary,med_any_sleep_relevant_30d,1,0.1307934428819206,0.1307934428819206,-0.03763329385537218,0.03763329385537218
spec_obesity_binary,n_chronic_dx_pre_sleep,,0.06583262148878537,0.06583262148878537,-0.01624161838711449,0.01624161838711449
spec_obesity_binary,neuromuscular_disease_flag,1,0.08240940844176343,0.08240940844176343,-0.023607963364813182,0.023607963364813182
spec_obesity_binary,obesity_bmipct95_flag,1,0.278738656589133,0.278738656589133,0.023369844779174913,0.023369844779174913
spec_obesity_binary,osa_flag,1,0.5458221322934309,0.5458221322934309,0.020260173807732387,0.020260173807732387
spec_obesity_binary,race_ethnicity_group,Hispanic,0.014736155282735327,0.014736155282735327,0.006378230744312085,0.006378230744312085
spec_obesity_binary,race_ethnicity_group,Non-Hispanic Asian,-0.0014494220576841189,0.0014494220576841189,-0.008952153274207874,0.008952153274207874
spec_obesity_binary,race_ethnicity_group,Non-Hispanic Black,0.12530013608484356,0.12530013608484356,-0.017217340947767532,0.017217340947767532
spec_obesity_binary,race_ethnicity_group,Non-Hispanic White,-0.13966343773728324,0.13966343773728324,0.011828419419874826,0.011828419419874826
spec_obesity_binary,race_ethnicity_group,Other/Multiracial,0.08218343754954874,0.08218343754954874,0.01050436974191849,0.01050436974191849
spec_obesity_binary,race_ethnicity_group,Unknown/Missing,-0.13005121775247105,0.13005121775247105,-0.053760333057047034,0.053760333057047034
spec_obesity_binary,sex,Female,-0.11973063293135498,0.11973063293135498,0.017791313110302274,0.017791313110302274
spec_obesity_binary,sex,Male,0.12057798086379491,0.12057798086379491,-0.017791313110302274,0.017791313110302274
spec_obesity_binary,sex,Unknown,-0.02896422231817461,0.02896422231817461,0.0,0.0
spec_comorbidity_alt,age_at_sleep_study_years,,0.01365459490739273,0.01365459490739273,-0.027330602438060854,0.027330602438060854
spec_comorbidity_alt,bmipct,,0.1896287413913076,0.1896287413913076,-0.0785436616853068,0.0785436616853068
spec_comorbidity_alt,craniofacial_anomaly_flag,1,0.12360044594667802,0.12360044594667802,-0.0753118401652864,0.0753118401652864
spec_comorbidity_alt,down_syndrome_flag,1,0.24043888725598883,0.24043888725598883,0.03128821696426214,0.03128821696426214
spec_comorbidity_alt,hypothyroidism_flag,1,0.08537956900086892,0.08537956900086892,-0.021254957300560644,0.021254957300560644
spec_comorbidity_alt,med_any_sleep_relevant_30d,1,0.1307934428819206,0.1307934428819206,-0.0647071884512415,0.0647071884512415
spec_comorbidity_alt,n_unique_dx_codes_pre_sleep,,0.6949489200273711,0.6949489200273711,0.04583178182595607,0.04583178182595607
spec_comorbidity_alt,neuromuscular_disease_flag,1,0.08240940844176343,0.08240940844176343,0.08056961646093184,0.08056961646093184
spec_comorbidity_alt,osa_flag,1,0.5458221322934309,0.5458221322934309,-0.10312030032386084,0.10312030032386084
spec_comorbidity_alt,race_ethnicity_group,Hispanic,0.014736155282735327,0.014736155282735327,-0.03991228933928332,0.03991228933928332
spec_comorbidity_alt,race_ethnicity_group,Non-Hispanic Asian,-0.0014494220576841189,0.0014494220576841189,0.06292821624991443,0.06292821624991443
spec_comorbidity_alt,race_ethnicity_group,Non-Hispanic Black,0.12530013608484356,0.12530013608484356,-0.03208204482736357,0.03208204482736357
spec_comorbidity_alt,race_ethnicity_group,Non-Hispanic White,-0.13966343773728324,0.13966343773728324,0.061696959812992745,0.061696959812992745
spec_comorbidity_alt,race_ethnicity_group,Other/Multiracial,0.08218343754954874,0.08218343754954874,-0.05940004573805282,0.05940004573805282
spec_comorbidity_alt,race_ethnicity_group,Unknown/Missing,-0.13005121775247105,0.13005121775247105,0.0,0.0
spec_comorbidity_alt,sex,Female,-0.11973063293135498,0.11973063293135498,-0.030879791974658927,0.030879791974658927
spec_comorbidity_alt,sex,Male,0.12057798086379491,0.12057798086379491,0.030879791974658816,0.030879791974658816
spec_comorbidity_alt,sex,Unknown,-0.02896422231817461,0.02896422231817461,0.0,0.0
spec_med_classes,age_at_sleep_study_years,,0.01365459490739273,0.01365459490739273,0.0416594764233433,0.0416594764233433
spec_med_classes,bmipct,,0.1896287413913076,0.1896287413913076,0.0777386400161736,0.0777386400161736
spec_med_classes,craniofacial_anomaly_flag,1,0.12360044594667802,0.12360044594667802,-0.05725983343138689,0.05725983343138689
spec_med_classes,down_syndrome_flag,1,0.24043888725598883,0.24043888725598883,-0.010487891835573186,0.010487891835573186
spec_med_classes,hypothyroidism_flag,1,0.08537956900086892,0.08537956900086892,-0.0274643409626815,0.0274643409626815
spec_med_classes,med_anticonvulsant_30d,1,0.07647767018248779,0.07647767018248779,-0.007137033369248976,0.007137033369248976
spec_med_classes,med_benzo_30d,1,-0.017858647513729998,0.017858647513729998,0.0,0.0
spec_med_classes,med_ssri_snri_30d,1,-0.0905235710818361,0.0905235710818361,0.021241766262572195,0.021241766262572195
spec_med_classes,med_stimulant_30d,1,0.033204825118083765,0.033204825118083765,0.014391468963096055,0.014391468963096055
spec_med_classes,n_chronic_dx_pre_sleep,,0.06583262148878537,0.06583262148878537,-0.05042776511404027,0.05042776511404027
